	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	G09	SYBR		Unkn			36.9445745083026	36.9445745083026	0	NaN	NaN	NaN	0	60	
	G10	SYBR		Unkn			34.6130757378216	34.6130757378216	0	NaN	NaN	NaN	0	60	
	G11	SYBR		Unkn			33.5281708917329	33.5281708917329	0	NaN	NaN	NaN	0	60	
	G12	SYBR		Unkn			33.5989780206728	33.5989780206728	0	NaN	NaN	NaN	0	60	
	H01	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	H02	SYBR		Unkn			37.1227675665749	37.1227675665749	0	NaN	NaN	NaN	0	60	
	H03	SYBR		Unkn			35.3042972230536	35.3042972230536	0	NaN	NaN	NaN	0	60	
	H04	SYBR		Unkn			38.746404090648	38.746404090648	0	NaN	NaN	NaN	0	60	
	H05	SYBR		Unkn			33.7190872506551	33.7190872506551	0	NaN	NaN	NaN	0	60	
	H06	SYBR		Unkn			34.8665512404548	34.8665512404548	0	NaN	NaN	NaN	0	60	
	H07	SYBR		Unkn			29.2927944905255	29.2927944905255	0	NaN	NaN	NaN	0	60	
	H08	SYBR		Unkn			32.114113852009	32.114113852009	0	NaN	NaN	NaN	0	60	
	H09	SYBR		Unkn			37.1257569515227	37.1257569515227	0	NaN	NaN	NaN	0	60	
	H10	SYBR		Unkn			34.4577283834552	34.4577283834552	0	NaN	NaN	NaN	0	60	
	H11	SYBR		Unkn			34.2506729155277	34.2506729155277	0	NaN	NaN	NaN	0	60	
	H12	SYBR		Unkn			34.970049658717	34.970049658717	0	NaN	NaN	NaN	0	60	
